codigo_articulo_proveedor,tipo_repuesto_id,valor,marca_id,fecha_costo,estado_id
1001-AC,1,445,2,2020-08-08,1
1003-ASN,1,732,2,2020-08-08,1
1005-ASN,1,680,2,2020-08-08,1
1007-A,1,580,2,2020-08-08,1
1010-A,1,290,2,2020-08-08,1
101-A 0.8,1,526,2,2020-08-08,1
103-A 0.4,1,873,2,2020-08-08,1
103-A 0.8,1,873,2,2020-08-08,1
103-A STD,1,873,2,2020-08-08,1
116-A,1,832,2,2020-08-08,1
1201-AN,1,577,2,2020-08-08,1
135-A,1,356,2,2020-08-08,1
1374-AC,1,1228,2,2020-08-08,1
1374-ACB 20,1,1092,2,2020-08-08,1
137-A+10,1,394,2,2020-08-08,1
137-A+15,1,594,2,2020-08-08,1
137-A+3,1,594,2,2020-08-08,1
137-AC,1,259,2,2020-08-08,1
137-AC+30,1,356,2,2020-08-08,1
137-AC+5,1,290,2,2020-08-08,1
1448-AP,1,709,2,2020-08-08,1
1498-ACP STD,1,1247,2,2020-08-08,1
1556-ACB 0.4,1,625,2,2020-08-08,1
1556-ACB 0.8,1,625,2,2020-08-08,1
1556-ACB 30 0.4,1,680,2,2020-08-08,1
1556-ACB 30 0.8,1,680,2,2020-08-08,1
1556-ACB 30 STD,1,680,2,2020-08-08,1
1556-ACB STD,1,625,2,2020-08-08,1
1557-ACB,1,559,2,2020-08-08,1
1557-ACB 30 0.4,1,689,2,2020-08-08,1
1557-ACB 30 0.8,1,689,2,2020-08-08,1
1557-ACB 30 STD,1,689,2,2020-08-08,1
1557-ACB C/O,1,549,2,2020-08-08,1
1567-ACP,1,1713,2,2020-08-08,1
1569-APS,1,2144,2,2020-08-08,1
1571-ABS,1,3954,2,2020-08-08,1
1573-ABS,1,1832,2,2020-08-08,1
157-A,1,516,2,2020-08-08,1
1646-ACS,1,684,2,2020-08-08,1
1645-ACS,1,760,2,2020-08-08,1
1647-AB,1,835,2,2020-08-08,1
1651-ACS,1,476,2,2020-08-08,1
167-A,1,294,2,2020-08-08,1
169-A,1,639,2,2020-08-08,1
172-A,1,604,2,2020-08-08,1
174-A,1,593,2,2020-08-08,1
175-AC,1,257,2,2020-08-08,1
176-AC,1,356,2,2020-08-08,1
1826-AC,1,360,2,2020-08-08,1
1828-AC,1,318,2,2020-08-08,1
1838-ACB 30,1,1741,2,2020-08-08,1
1839-ACB 0.4,1,1608,2,2020-08-08,1
1839-ACB STD,1,1098,2,2020-08-08,1
183-AE,1,3089,2,2020-08-08,1
1842-ACB,1,2476,2,2020-08-08,1
185-AE,1,2056,2,2020-08-08,1
191-A,1,574,2,2020-08-08,1
193-A+10,1,281,2,2020-08-08,1
193-A+20,1,575,2,2020-08-08,1
193-A+3,1,266,2,2020-08-08,1
193-A+30,1,739,2,2020-08-08,1
193-AC,1,249,2,2020-08-08,1
193-AC+15,1,281,2,2020-08-08,1
193-AC+5,1,266,2,2020-08-08,1
194-A,1,664,2,2020-08-08,1
194-A+10,1,412,2,2020-08-08,1
194-A+15,1,412,2,2020-08-08,1
194-A+5,1,732,2,2020-08-08,1
197-A,1,525,2,2020-08-08,1
197-A+10,1,812,2,2020-08-08,1
197-A+15,1,812,2,2020-08-08,1
197-A+30,1,921,2,2020-08-08,1
197-A+5,1,543,2,2020-08-08,1
20026-ACB30 0.4,1,773,2,2020-08-08,1
20026-ACB30 STD,1,773,2,2020-08-08,1
20226-ACB30 0.4,1,773,2,2020-08-08,1
20226-ACB30 STD,1,773,2,2020-08-08,1
20226-ACB45 0.4,1,780,2,2020-08-08,1
20226-ACB45 STD,1,780,2,2020-08-08,1
2026-AC 30 0.4,1,616,2,2020-08-08,1
2026-AC 30 0.8,1,616,2,2020-08-08,1
2026-AC 30 STD,1,616,2,2020-08-08,1
206-A,1,634,2,2020-08-08,1
217-A(USA),1,635,2,2020-08-08,1
224-AC 0.4,1,830,2,2020-08-08,1
224-AC 0.8,1,830,2,2020-08-08,1
224-AC STD,1,830,2,2020-08-08,1
226-AC 0.4,1,401,2,2020-08-08,1
226-AC 0.8,1,394,2,2020-08-08,1
226-AC STD,1,401,2,2020-08-08,1
229-AC 0.4,1,1179,2,2020-08-08,1
229-AC 0.8,1,1179,2,2020-08-08,1
229-AC STD,1,575,2,2020-08-08,1
23019-ACP,1,1506,2,2020-08-08,1
23029-ACB,1,897,2,2020-08-08,1
23209-AP,1,1542,2,2020-08-08,1
23229-ABS,1,1750,2,2020-08-08,1
23293-AP,1,497,2,2020-08-08,1
23394-ACB,1,1171,2,2020-08-08,1
244-A,1,770,2,2020-08-08,1
246-AC 0.4,1,747,2,2020-08-08,1
246-AC 0.8,1,747,2,2020-08-08,1
246-AC STD,1,747,2,2020-08-08,1
247-A 0.4,1,222,2,2020-08-08,1
247-A 0.8,1,222,2,2020-08-08,1
247-A C/P,1,222,2,2020-08-08,1
247-A STD,1,222,2,2020-08-08,1
249-AC 0.4,1,284,2,2020-08-08,1
249-AC 0.8,1,284,2,2020-08-08,1
249-AC STD,1,284,2,2020-08-08,1
249-AC+10 STD,1,589,2,2020-08-08,1
249-AC+15 STD,1,589,2,2020-08-08,1
250-AMF,1,304,2,2020-08-08,1
252-A STD,1,921,2,2020-08-08,1
256-A,1,591,2,2020-08-08,1
258-A,1,288,2,2020-08-08,1
260-A,1,865,2,2020-08-08,1
274-A,1,477,2,2020-08-08,1
274-A+10,1,330,2,2020-08-08,1
274-A+15,1,552,2,2020-08-08,1
274-A+30,1,691,2,2020-08-08,1
274-A+5,1,293,2,2020-08-08,1
280-A,1,359,2,2020-08-08,1
280-A+15,1,767,2,2020-08-08,1
280-A+30,1,644,2,2020-08-08,1
280-A+5,1,729,2,2020-08-08,1
281-AC,1,384,2,2020-08-08,1
282-AC,1,763,2,2020-08-08,1
286-AC 0.4,1,2286,2,2020-08-08,1
286-AC 0.8,1,2402,2,2020-08-08,1
286-AC STD,1,1715,2,2020-08-08,1
287-AC,1,620,2,2020-08-08,1
291-AC,1,342,2,2020-08-08,1
291-AC+10,1,719,2,2020-08-08,1
291-AC+15,1,777,2,2020-08-08,1
291-AC+3,1,707,2,2020-08-08,1
291-AC+5,1,519,2,2020-08-08,1
292-AC,1,284,2,2020-08-08,1
294-AC,1,268,2,2020-08-08,1
297-AC,1,418,2,2020-08-08,1
297-AC+10,1,722,2,2020-08-08,1
297-AC+15,1,827,2,2020-08-08,1
297-AC+30,1,884,2,2020-08-08,1
297-AC+5,1,566,2,2020-08-08,1
3005-A,1,463,2,2020-08-08,1
3006-AC,1,456,2,2020-08-08,1
3007-A,1,291,2,2020-08-08,1
3008-AC,1,1359,2,2020-08-08,1
3009-AC,1,700,2,2020-08-08,1
3009-AC+3,1,371,2,2020-08-08,1
3010-A,1,767,2,2020-08-08,1
3012-AC,1,328,2,2020-08-08,1
3016-AC,1,359,2,2020-08-08,1
3016-AC+15,1,845,2,2020-08-08,1
3016-AC+3,1,771,2,2020-08-08,1
3020-AC,1,384,2,2020-08-08,1
3020-AC+15,1,422,2,2020-08-08,1
3028-AC,1,978,2,2020-08-08,1
3036-A,1,410,2,2020-08-08,1
303-AC,1,312,2,2020-08-08,1
3040-AC,1,452,2,2020-08-08,1
3040-AC+10,1,527,2,2020-08-08,1
3040-AC+15,1,527,2,2020-08-08,1
3040-AC+3,1,543,2,2020-08-08,1
3040-AC+5,1,474,2,2020-08-08,1
3094-AC,1,311,2,2020-08-08,1
3096-AC,1,645,2,2020-08-08,1
3104-AC,1,1402,2,2020-08-08,1
3106-A,1,398,2,2020-08-08,1
3107-AN,1,635,2,2020-08-08,1
3108-AC,1,897,2,2020-08-08,1
3109-AC,1,408,2,2020-08-08,1
310-AC,1,626,2,2020-08-08,1
310-AC+10,1,401,2,2020-08-08,1
310-AC+5,1,379,2,2020-08-08,1
3110-AC,1,431,2,2020-08-08,1
3112-AC,1,807,2,2020-08-08,1
3115-AN,1,1018,2,2020-08-08,1
3124-AC,1,619,2,2020-08-08,1
3136-AC,1,334,2,2020-08-08,1
3138-AC,1,345,2,2020-08-08,1
313-AC,1,1188,2,2020-08-08,1
3140-AC,1,425,2,2020-08-08,1
3142-AC,1,525,2,2020-08-08,1
3146-AC,1,292,2,2020-08-08,1
3148-AC,1,1067,2,2020-08-08,1
314-AC,1,1036,2,2020-08-08,1
3150-AB,1,420,2,2020-08-08,1
3154-AN,1,910,2,2020-08-08,1
3158-AC,1,345,2,2020-08-08,1
315-A,1,927,2,2020-08-08,1
3160-AN,1,514,2,2020-08-08,1
3162-AC,1,967,2,2020-08-08,1
3162-AC+15,1,540,2,2020-08-08,1
3164-AC,1,546,2,2020-08-08,1
3168-A,1,334,2,2020-08-08,1
3184-AN,1,1092,2,2020-08-08,1
3190-ABS,1,1047,2,2020-08-08,1
3192-AC,1,618,2,2020-08-08,1
3196-A,1,352,2,2020-08-08,1
3210-A,1,851,2,2020-08-08,1
3210-AS,1,868,2,2020-08-08,1
3218-A,1,393,2,2020-08-08,1
3231-AN,1,466,2,2020-08-08,1
3234-AC,1,361,2,2020-08-08,1
3236-A,1,1078,2,2020-08-08,1
3238-A,1,357,2,2020-08-08,1
3240-A,1,487,2,2020-08-08,1
3241-AC,1,303,2,2020-08-08,1
3241-AC 0.4,1,303,2,2020-08-08,1
3241-AC STD,1,298,2,2020-08-08,1
3241-AC STD,1,298,2,2020-08-08,1
3242-A,1,331,2,2020-08-08,1
3251-AC,1,785,2,2020-08-08,1
3260-AC STD(M),1,529,2,2020-08-08,1
3260-ACB 0.4,1,529,2,2020-08-08,1
3260-ACB 0.8,1,529,2,2020-08-08,1
3260-ACB 20 STD,1,568,2,2020-08-08,1
3260-ACB STD,1,529,2,2020-08-08,1
3262-AC STD,1,539,2,2020-08-08,1
3271-AC STD,1,2053,2,2020-08-08,1
3275-AN,1,612,2,2020-08-08,1
3278-AN,1,700,2,2020-08-08,1
3282-AN,1,535,2,2020-08-08,1
328-A,1,908,2,2020-08-08,1
3291-AN,1,972,2,2020-08-08,1
3294-A,1,1031,2,2020-08-08,1
3296-AN,1,741,2,2020-08-08,1
3298-AN,1,262,2,2020-08-08,1
329-A,1,460,2,2020-08-08,1
329-A+15,1,1019,2,2020-08-08,1
329-A+3,1,971,2,2020-08-08,1
3301-A,1,338,2,2020-08-08,1
3304-A,1,284,2,2020-08-08,1
3305-A,1,770,2,2020-08-08,1
3308-AC,1,297,2,2020-08-08,1
330-AC,1,531,2,2020-08-08,1
3310-A,1,859,2,2020-08-08,1
3312-A,1,368,2,2020-08-08,1
3313-A,1,444,2,2020-08-08,1
3316-AC,1,318,2,2020-08-08,1
331-AC,1,830,2,2020-08-08,1
3320-AC,1,517,2,2020-08-08,1
3324-AC 0.4,1,419,2,2020-08-08,1
3324-AC STD,1,419,2,2020-08-08,1
3326-A,1,1098,2,2020-08-08,1
332-AC,1,418,2,2020-08-08,1
332-AC+15,1,845,2,2020-08-08,1
332-AC+3,1,786,2,2020-08-08,1
332-AC+5,1,908,2,2020-08-08,1
3332-A,1,710,2,2020-08-08,1
3332-A+3,1,1571,2,2020-08-08,1
3334-AC,1,564,2,2020-08-08,1
3042-AC,1,380,2,2020-08-08,1
3042-AC+15,1,831,2,2020-08-08,1
3044-AC,1,1233,2,2020-08-08,1
3046-AC,1,389,2,2020-08-08,1
3050-AC,1,816,2,2020-08-08,1
3052-AC,1,455,2,2020-08-08,1
3054-AC,1,478,2,2020-08-08,1
3054-AC+5,1,980,2,2020-08-08,1
3056-A,1,610,2,2020-08-08,1
3058-A,1,389,2,2020-08-08,1
3060-AC,1,367,2,2020-08-08,1
3062-AC,1,336,2,2020-08-08,1
3064-AC,1,338,2,2020-08-08,1
3066-AC,1,331,2,2020-08-08,1
3068-AC,1,381,2,2020-08-08,1
3070-AC,1,532,2,2020-08-08,1
3074-AC,1,463,2,2020-08-08,1
3082-AC,1,844,2,2020-08-08,1
3084-AC,1,471,2,2020-08-08,1
3086-A,1,909,2,2020-08-08,1
3090-AC,1,395,2,2020-08-08,1
3092-AC,1,451,2,2020-08-08,1
3342-AC,1,439,2,2020-08-08,1
3344-ACB,1,431,2,2020-08-08,1
3348-A,1,1025,2,2020-08-08,1
3350-A,1,647,2,2020-08-08,1
3352-A,1,622,2,2020-08-08,1
3354-AN,1,1296,2,2020-08-08,1
3356-A,1,1029,2,2020-08-08,1
3358-A,1,545,2,2020-08-08,1
3380-A,1,1092,2,2020-08-08,1
3382-AN,1,965,2,2020-08-08,1
3384-AC,1,448,2,2020-08-08,1
3386-AC,1,1208,2,2020-08-08,1
3388-ACB,1,442,2,2020-08-08,1
3390-AC,1,413,2,2020-08-08,1
3392-AC,1,372,2,2020-08-08,1
3406-AN,1,660,2,2020-08-08,1
3408-AC,1,266,2,2020-08-08,1
3410-AN,1,942,2,2020-08-08,1
3416-AC,1,330,2,2020-08-08,1
3418-AC,1,1132,2,2020-08-08,1
3420-AB,1,575,2,2020-08-08,1
3422-AC,1,474,2,2020-08-08,1
3426-AC,1,388,2,2020-08-08,1
3430-A,1,1268,2,2020-08-08,1
3432-A,1,1010,2,2020-08-08,1
3434-AN,1,830,2,2020-08-08,1
3438-A,1,982,2,2020-08-08,1
3440-AN,1,458,2,2020-08-08,1
3442-AN,1,1229,2,2020-08-08,1
3446-AC,1,928,2,2020-08-08,1
3448-A,1,1410,2,2020-08-08,1
344-AC,1,556,2,2020-08-08,1
3452-A,1,302,2,2020-08-08,1
3454-AN,1,388,2,2020-08-08,1
3458-AN,1,444,2,2020-08-08,1
3462-AN,1,482,2,2020-08-08,1
3464-AN,1,363,2,2020-08-08,1
3466-AC 0.4,1,393,2,2020-08-08,1
3466-AC 0.8,1,393,2,2020-08-08,1
3466-AC STD,1,393,2,2020-08-08,1
3466-AC+15 STD,1,387,2,2020-08-08,1
3466-AC+5 STD,1,451,2,2020-08-08,1
3468-AN,1,466,2,2020-08-08,1
3470-AC,1,394,2,2020-08-08,1
3482-AB,1,1064,2,2020-08-08,1
3484-A,1,338,2,2020-08-08,1
3486-A,1,348,2,2020-08-08,1
3488-AS,1,379,2,2020-08-08,1
3490-AN,1,918,2,2020-08-08,1
3496-A,1,1371,2,2020-08-08,1
3498-A,1,728,2,2020-08-08,1
3498-AC,1,728,2,2020-08-08,1
349-A,1,1368,2,2020-08-08,1
3500-AC,1,383,2,2020-08-08,1
3508-A,1,501,2,2020-08-08,1
3510-ACB,1,428,2,2020-08-08,1
3512-A,1,415,2,2020-08-08,1
3514-AC,1,379,2,2020-08-08,1
3516-AC,1,1733,2,2020-08-08,1
351-A,1,880,2,2020-08-08,1
3520-AN,1,474,2,2020-08-08,1
3522-AN,1,343,2,2020-08-08,1
3524-A,1,399,2,2020-08-08,1
3526-A,1,368,2,2020-08-08,1
3528-AN,1,1040,2,2020-08-08,1
3532-AN,1,975,2,2020-08-08,1
3534-AC,1,1353,2,2020-08-08,1
3538-AC,1,518,2,2020-08-08,1
3540-A,1,379,2,2020-08-08,1
3542-A,1,414,2,2020-08-08,1
3544-A,1,474,2,2020-08-08,1
3546-AC,1,404,2,2020-08-08,1
3548-APN,1,1042,2,2020-08-08,1
3558-AC,1,409,2,2020-08-08,1
3560-AB,1,602,2,2020-08-08,1
3564-A,1,450,2,2020-08-08,1
3570-AN,1,487,2,2020-08-08,1
3576-A,1,768,2,2020-08-08,1
3578-AC,1,500,2,2020-08-08,1
3580-AN,1,451,2,2020-08-08,1
3584-ACBS,1,1194,2,2020-08-08,1
3586-ACB,1,404,2,2020-08-08,1
3594-AN,1,557,2,2020-08-08,1
3598-A,1,379,2,2020-08-08,1
3600-AC,1,427,2,2020-08-08,1
3602-A,1,382,2,2020-08-08,1
3612-AC,1,1331,2,2020-08-08,1
3614-AC,1,1074,2,2020-08-08,1
3616-A,1,334,2,2020-08-08,1
3618-AC,1,635,2,2020-08-08,1
3618-AC+15,1,691,2,2020-08-08,1
3618-AC+30,1,1461,2,2020-08-08,1
3620-A,1,285,2,2020-08-08,1
